Program,Threads,CommandIndex,Command,Run,Output
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,1,$'# elapsed time (sequential_miniz): 25.3372s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,1,$'# elapsed time (sequential_miniz): 1.38223s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,1,$'# elapsed time (sequential_miniz): 40.5519s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,1,$'# elapsed time (sequential_miniz): 2.19402s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,1,$'# elapsed time (sequential_miniz): 23.7186s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,1,$'# elapsed time (sequential_miniz): 1.42377s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,2,$'# elapsed time (sequential_miniz): 26.1423s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,2,$'# elapsed time (sequential_miniz): 1.4369s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,2,$'# elapsed time (sequential_miniz): 29.6642s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,2,$'# elapsed time (sequential_miniz): 8.38279s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,2,$'# elapsed time (sequential_miniz): 26.0219s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,2,$'# elapsed time (sequential_miniz): 1.42663s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,3,$'# elapsed time (sequential_miniz): 24.1653s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,3,$'# elapsed time (sequential_miniz): 1.35174s\nExiting with Success'
minizseq,1,3,-r\ 0\ -C\ 0\ -q\ 1\ small_files,3,$'# elapsed time (sequential_miniz): 36.8985s\nExiting with Success'
minizseq,1,4,-r\ 0\ -D\ 1\ -q\ 1\ small_files,3,$'# elapsed time (sequential_miniz): 2.66705s\nExiting with Success'
minizseq,1,5,-r\ 1\ -C\ 0\ -q\ 1\ nested_files,3,$'# elapsed time (sequential_miniz): 23.2235s\nExiting with Success'
minizseq,1,6,-r\ 1\ -D\ 1\ -q\ 1\ nested_files,3,$'# elapsed time (sequential_miniz): 1.42452s\nExiting with Success'
minizseq,1,1,-r\ 0\ -C\ 0\ -q\ 1\ big_files,4,$'# elapsed time (sequential_miniz): 24.5368s\nExiting with Success'
minizseq,1,2,-r\ 0\ -D\ 1\ -q\ 1\ big_files,4,$'# elapsed time (sequential_miniz): 1.44471s\nExiting with Success'
